model,language,k,n,accuracy,wilson_lo,wilson_hi
Qwen/Qwen2.5-Coder-0.5B-Instruct,identity,3,21,0.14285714285714285,0.04981012499725268,0.34636060280620945
Qwen/Qwen2.5-Coder-0.5B-Instruct,alpha,0,21,0.0,0.0,0.154639018924847
Qwen/Qwen2.5-Coder-0.5B-Instruct,beta,1,21,0.047619047619047616,0.008455987809826399,0.22669360074122563
Qwen/Qwen2.5-Coder-0.5B-Instruct,gamma,0,21,0.0,0.0,0.154639018924847
Qwen/Qwen2.5-Coder-1.5B-Instruct,identity,9,21,0.42857142857142855,0.2446996892537596,0.6345344563069328
Qwen/Qwen2.5-Coder-1.5B-Instruct,alpha,3,21,0.14285714285714285,0.04981012499725268,0.34636060280620945
Qwen/Qwen2.5-Coder-1.5B-Instruct,beta,4,21,0.19047619047619047,0.07667565052761793,0.40000564690204926
Qwen/Qwen2.5-Coder-1.5B-Instruct,gamma,4,21,0.19047619047619047,0.07667565052761793,0.40000564690204926
Qwen/Qwen2.5-Coder-3B-Instruct,identity,12,21,0.5714285714285714,0.3654655436930671,0.7553003107462404
Qwen/Qwen2.5-Coder-3B-Instruct,alpha,4,21,0.19047619047619047,0.07667565052761793,0.40000564690204926
Qwen/Qwen2.5-Coder-3B-Instruct,beta,14,21,0.6666666666666666,0.4537345197425524,0.8280524739491653
Qwen/Qwen2.5-Coder-3B-Instruct,gamma,8,21,0.38095238095238093,0.20751011368564493,0.5912134622488425
Qwen/Qwen2.5-Coder-7B-Instruct,identity,15,21,0.7142857142857143,0.5004361928391441,0.8618613704787788
Qwen/Qwen2.5-Coder-7B-Instruct,alpha,0,21,0.0,0.0,0.154639018924847
Qwen/Qwen2.5-Coder-7B-Instruct,beta,4,21,0.19047619047619047,0.07667565052761793,0.40000564690204926
Qwen/Qwen2.5-Coder-7B-Instruct,gamma,7,21,0.3333333333333333,0.17194752605083477,0.5462654802574476
