model,language,k,n,accuracy,wilson_lo,wilson_hi
Qwen/Qwen2.5-Coder-0.5B-Instruct,identity,1,21,0.047619047619047616,0.008455987809826399,0.22669360074122563
Qwen/Qwen2.5-Coder-0.5B-Instruct,alpha,0,21,0.0,0.0,0.154639018924847
Qwen/Qwen2.5-Coder-0.5B-Instruct,beta,0,21,0.0,0.0,0.154639018924847
Qwen/Qwen2.5-Coder-0.5B-Instruct,gamma,0,21,0.0,0.0,0.154639018924847
Qwen/Qwen2.5-Coder-1.5B-Instruct,identity,12,21,0.5714285714285714,0.3654655436930671,0.7553003107462404
Qwen/Qwen2.5-Coder-1.5B-Instruct,alpha,8,21,0.38095238095238093,0.20751011368564493,0.5912134622488425
Qwen/Qwen2.5-Coder-1.5B-Instruct,beta,6,21,0.2857142857142857,0.1381386295212213,0.49956380716085597
Qwen/Qwen2.5-Coder-1.5B-Instruct,gamma,8,21,0.38095238095238093,0.20751011368564493,0.5912134622488425
Qwen/Qwen2.5-Coder-3B-Instruct,identity,17,21,0.8095238095238095,0.5999943530979508,0.9233243494723822
Qwen/Qwen2.5-Coder-3B-Instruct,alpha,9,21,0.42857142857142855,0.2446996892537596,0.6345344563069328
Qwen/Qwen2.5-Coder-3B-Instruct,beta,18,21,0.8571428571428571,0.6536393971937906,0.9501898750027473
Qwen/Qwen2.5-Coder-3B-Instruct,gamma,13,21,0.6190476190476191,0.4087865377511576,0.7924898863143551
Qwen/Qwen2.5-Coder-7B-Instruct,identity,19,21,0.9047619047619048,0.7108586092608176,0.9734812325619255
Qwen/Qwen2.5-Coder-7B-Instruct,alpha,1,21,0.047619047619047616,0.008455987809826399,0.22669360074122563
Qwen/Qwen2.5-Coder-7B-Instruct,beta,11,21,0.5238095238095238,0.3236953458284443,0.7165599389846583
Qwen/Qwen2.5-Coder-7B-Instruct,gamma,8,21,0.38095238095238093,0.20751011368564493,0.5912134622488425
