model,language,risk_difference,ci_lo,ci_hi,n_pairs,mcnemar_p,n_discordant
Qwen/Qwen2.5-Coder-0.5B-Instruct,alpha,-0.047619047619047616,-0.14285714285714285,0.0,21,1.0,1
Qwen/Qwen2.5-Coder-0.5B-Instruct,beta,-0.047619047619047616,-0.14285714285714285,0.0,21,1.0,1
Qwen/Qwen2.5-Coder-0.5B-Instruct,gamma,-0.047619047619047616,-0.14285714285714285,0.0,21,1.0,1
Qwen/Qwen2.5-Coder-1.5B-Instruct,alpha,-0.19047619047619047,-0.38095238095238093,-0.047619047619047616,21,0.125,4
Qwen/Qwen2.5-Coder-1.5B-Instruct,beta,-0.2857142857142857,-0.47619047619047616,-0.09523809523809523,21,0.03125,6
Qwen/Qwen2.5-Coder-1.5B-Instruct,gamma,-0.19047619047619047,-0.38095238095238093,-0.047619047619047616,21,0.125,4
Qwen/Qwen2.5-Coder-3B-Instruct,alpha,-0.38095238095238093,-0.5714285714285714,-0.19047619047619047,21,0.0078125,8
Qwen/Qwen2.5-Coder-3B-Instruct,beta,0.047619047619047616,0.0,0.14285714285714285,21,1.0,1
Qwen/Qwen2.5-Coder-3B-Instruct,gamma,-0.19047619047619047,-0.42857142857142855,0.0,21,0.21875,6
Qwen/Qwen2.5-Coder-7B-Instruct,alpha,-0.8571428571428571,-1.0,-0.7142857142857143,21,7.62939453125e-06,18
Qwen/Qwen2.5-Coder-7B-Instruct,beta,-0.38095238095238093,-0.6190476190476191,-0.14285714285714285,21,0.021484375,10
Qwen/Qwen2.5-Coder-7B-Instruct,gamma,-0.5238095238095238,-0.7142857142857143,-0.2857142857142857,21,0.0009765625,11
