model,language,delta,ci_lo,ci_hi,n_pairs
Qwen/Qwen2.5-Coder-0.5B,alpha,0.5524632473671325,0.5059033108039876,0.6005431656146689,62
Qwen/Qwen2.5-Coder-0.5B,beta,1.72351232719866,1.6256247802717105,1.8125684831273838,62
Qwen/Qwen2.5-Coder-0.5B,gamma,2.818855602682216,2.6292983291301946,2.991948833495771,62
Qwen/Qwen2.5-Coder-1.5B,alpha,0.6311164620467211,0.5867027937458502,0.6777997609277535,62
Qwen/Qwen2.5-Coder-1.5B,beta,1.7079124945304887,1.6158668793353839,1.790083519818677,62
Qwen/Qwen2.5-Coder-1.5B,gamma,3.1218423129382,2.9225257661541413,3.3056198856774826,62
Qwen/Qwen2.5-Coder-3B,alpha,0.6530052255740206,0.6088532803763105,0.6990616547960777,62
Qwen/Qwen2.5-Coder-3B,beta,1.6630503014251068,1.570141600705024,1.7471719603126579,62
Qwen/Qwen2.5-Coder-3B,gamma,2.6647054427877555,2.484928478597783,2.83214885600275,62
Qwen/Qwen2.5-Coder-7B [cpu],alpha,0.5870798124102348,0.5409177523868944,0.6354920085074129,62
Qwen/Qwen2.5-Coder-7B [cpu],beta,1.5910279239530052,1.5093652223568257,1.6659364431086867,62
Qwen/Qwen2.5-Coder-7B [cpu],gamma,2.7822458923256077,2.585179579995824,2.9681722160290525,62
