model,n_parameters,condition,language,accuracy
Qwen/Qwen2.5-Coder-0.5B-Instruct,494032768,bare,identity,0.14285714285714285
Qwen/Qwen2.5-Coder-0.5B-Instruct,494032768,bare,alpha,0.0
Qwen/Qwen2.5-Coder-0.5B-Instruct,494032768,bare,beta,0.047619047619047616
Qwen/Qwen2.5-Coder-0.5B-Instruct,494032768,bare,gamma,0.0
Qwen/Qwen2.5-Coder-0.5B-Instruct,494032768,scaffolded,identity,0.047619047619047616
Qwen/Qwen2.5-Coder-0.5B-Instruct,494032768,scaffolded,alpha,0.0
Qwen/Qwen2.5-Coder-0.5B-Instruct,494032768,scaffolded,beta,0.0
Qwen/Qwen2.5-Coder-0.5B-Instruct,494032768,scaffolded,gamma,0.0
Qwen/Qwen2.5-Coder-1.5B-Instruct,1543714304,bare,identity,0.42857142857142855
Qwen/Qwen2.5-Coder-1.5B-Instruct,1543714304,bare,alpha,0.14285714285714285
Qwen/Qwen2.5-Coder-1.5B-Instruct,1543714304,bare,beta,0.19047619047619047
Qwen/Qwen2.5-Coder-1.5B-Instruct,1543714304,bare,gamma,0.19047619047619047
Qwen/Qwen2.5-Coder-1.5B-Instruct,1543714304,scaffolded,identity,0.5714285714285714
Qwen/Qwen2.5-Coder-1.5B-Instruct,1543714304,scaffolded,alpha,0.38095238095238093
Qwen/Qwen2.5-Coder-1.5B-Instruct,1543714304,scaffolded,beta,0.2857142857142857
Qwen/Qwen2.5-Coder-1.5B-Instruct,1543714304,scaffolded,gamma,0.38095238095238093
Qwen/Qwen2.5-Coder-3B-Instruct,3085938688,bare,identity,0.5714285714285714
Qwen/Qwen2.5-Coder-3B-Instruct,3085938688,bare,alpha,0.19047619047619047
Qwen/Qwen2.5-Coder-3B-Instruct,3085938688,bare,beta,0.6666666666666666
Qwen/Qwen2.5-Coder-3B-Instruct,3085938688,bare,gamma,0.38095238095238093
Qwen/Qwen2.5-Coder-3B-Instruct,3085938688,scaffolded,identity,0.8095238095238095
Qwen/Qwen2.5-Coder-3B-Instruct,3085938688,scaffolded,alpha,0.42857142857142855
Qwen/Qwen2.5-Coder-3B-Instruct,3085938688,scaffolded,beta,0.8571428571428571
Qwen/Qwen2.5-Coder-3B-Instruct,3085938688,scaffolded,gamma,0.6190476190476191
Qwen/Qwen2.5-Coder-7B-Instruct,7615616512,bare,identity,0.7142857142857143
Qwen/Qwen2.5-Coder-7B-Instruct,7615616512,bare,alpha,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,7615616512,bare,beta,0.19047619047619047
Qwen/Qwen2.5-Coder-7B-Instruct,7615616512,bare,gamma,0.3333333333333333
Qwen/Qwen2.5-Coder-7B-Instruct,7615616512,scaffolded,identity,0.9047619047619048
Qwen/Qwen2.5-Coder-7B-Instruct,7615616512,scaffolded,alpha,0.047619047619047616
Qwen/Qwen2.5-Coder-7B-Instruct,7615616512,scaffolded,beta,0.5238095238095238
Qwen/Qwen2.5-Coder-7B-Instruct,7615616512,scaffolded,gamma,0.38095238095238093
