model,condition,language,n_parameters,e2e_median,e2e_p95,e2e_iqr,prefill_median,decode_median,input_tokens_median,output_tokens_median,tok_per_s_median,peak_vram_bytes,peak_rss_bytes
Qwen/Qwen2.5-Coder-0.5B-Instruct,bare,identity,494032768,0.483208,0.822146,0.24685200000000007,0.027627,0.455581,716.0,21.0,45.8807,1068145664,2818985984
Qwen/Qwen2.5-Coder-0.5B-Instruct,bare,alpha,494032768,0.518169,1.203517,0.276009,0.027582,0.486828,720.0,23.0,45.5657,1068145664,2818985984
Qwen/Qwen2.5-Coder-0.5B-Instruct,bare,beta,494032768,0.626279,1.244395,0.317893,0.03226,0.594226,789.0,27.0,45.3244,1068145664,2818985984
Qwen/Qwen2.5-Coder-0.5B-Instruct,bare,gamma,494032768,0.548213,1.215887,0.32160500000000003,0.032641,0.510134,808.0,24.0,45.2461,1068145664,2818985984
Qwen/Qwen2.5-Coder-0.5B-Instruct,scaffolded,identity,494032768,0.834995,10.026731,6.722439,0.043349,0.794612,1171.0,35.0,45.2167,1068145664,2818985984
Qwen/Qwen2.5-Coder-0.5B-Instruct,scaffolded,alpha,494032768,1.834795,11.609249,7.724582,0.048625,1.790317,1175.0,80.0,45.102,1068145664,2818985984
Qwen/Qwen2.5-Coder-0.5B-Instruct,scaffolded,beta,494032768,11.691407,11.747425,1.3194420000000004,0.048974,11.642463,1244.0,512.0,43.9769,1068145664,2818985984
Qwen/Qwen2.5-Coder-0.5B-Instruct,scaffolded,gamma,494032768,0.696979,11.742615,1.052807,0.043741,0.652603,1282.0,29.0,44.9013,1068145664,2818985984
Qwen/Qwen2.5-Coder-1.5B-Instruct,bare,identity,1543714304,0.713084,1.190519,0.5595199999999999,0.081529,0.628745,716.0,24.0,38.1713,3219994112,7017725952
Qwen/Qwen2.5-Coder-1.5B-Instruct,bare,alpha,1543714304,0.664421,1.0625,0.20982200000000006,0.082152,0.583485,720.0,24.0,39.0319,3219994112,7017725952
Qwen/Qwen2.5-Coder-1.5B-Instruct,bare,beta,1543714304,0.863923,1.529243,0.49336500000000005,0.086148,0.774174,789.0,29.0,37.5319,3219994112,7017725952
Qwen/Qwen2.5-Coder-1.5B-Instruct,bare,gamma,1543714304,0.873641,1.393068,0.33345400000000003,0.0947,0.781675,808.0,30.0,37.3475,3219994112,7017725952
Qwen/Qwen2.5-Coder-1.5B-Instruct,scaffolded,identity,1543714304,0.744776,1.217803,0.278138,0.121349,0.621762,1171.0,25.0,46.3378,3219994112,7017725952
Qwen/Qwen2.5-Coder-1.5B-Instruct,scaffolded,alpha,1543714304,0.744961,1.129639,0.16311700000000007,0.125094,0.617329,1175.0,23.0,38.0477,3219994112,7017725952
Qwen/Qwen2.5-Coder-1.5B-Instruct,scaffolded,beta,1543714304,0.900865,1.640914,0.487865,0.128512,0.772098,1244.0,29.0,37.6014,3219994112,7017725952
Qwen/Qwen2.5-Coder-1.5B-Instruct,scaffolded,gamma,1543714304,0.914671,1.350528,0.3971699999999999,0.135512,0.780366,1282.0,29.0,37.9481,3219994112,7017725952
Qwen/Qwen2.5-Coder-3B-Instruct,bare,identity,3085938688,0.911591,1.646094,0.3507450000000001,0.158612,0.753297,716.0,22.0,29.2881,6452672512,13187829760
Qwen/Qwen2.5-Coder-3B-Instruct,bare,alpha,3085938688,0.921061,1.584125,0.25563400000000003,0.156499,0.761836,720.0,22.0,29.2786,6452672512,13187829760
Qwen/Qwen2.5-Coder-3B-Instruct,bare,beta,3085938688,1.178324,1.808753,0.3001309999999999,0.170922,1.005047,789.0,28.0,28.8184,6452672512,13187829760
Qwen/Qwen2.5-Coder-3B-Instruct,bare,gamma,3085938688,1.141937,2.271421,0.49547399999999997,0.182575,0.961037,808.0,28.0,29.1352,6452672512,13187829760
Qwen/Qwen2.5-Coder-3B-Instruct,scaffolded,identity,3085938688,0.997023,1.817443,0.30127399999999993,0.259948,0.737213,1171.0,22.0,29.6731,6452672512,13187829760
Qwen/Qwen2.5-Coder-3B-Instruct,scaffolded,alpha,3085938688,1.05835,1.76099,0.36394899999999997,0.258908,0.80047,1175.0,23.0,29.6748,6452672512,13187829760
Qwen/Qwen2.5-Coder-3B-Instruct,scaffolded,beta,3085938688,1.263094,2.129002,0.27766500000000005,0.262817,0.998602,1244.0,28.0,29.2513,6452672512,13187829760
Qwen/Qwen2.5-Coder-3B-Instruct,scaffolded,gamma,3085938688,1.233764,2.335136,0.5041200000000001,0.2764,0.949567,1282.0,29.0,29.3334,6452672512,13187829760
Qwen/Qwen2.5-Coder-7B-Instruct,bare,identity,7615616512,1.174407,2.205002,0.583339,0.331945,0.844496,716.0,24.0,27.6364,15557297152,31305658368
Qwen/Qwen2.5-Coder-7B-Instruct,bare,alpha,7615616512,1.215998,1.866459,0.42002300000000004,0.333891,0.857727,720.0,24.0,28.0039,15557297152,31305658368
Qwen/Qwen2.5-Coder-7B-Instruct,bare,beta,7615616512,1.476778,2.383133,0.6480810000000001,0.363127,1.07736,789.0,31.0,27.9785,15557297152,31305658368
Qwen/Qwen2.5-Coder-7B-Instruct,bare,gamma,7615616512,1.453323,2.485315,0.6408020000000001,0.398938,1.028287,808.0,29.0,28.4093,15557297152,31305658368
Qwen/Qwen2.5-Coder-7B-Instruct,scaffolded,identity,7615616512,1.442499,2.243045,0.520402,0.546798,0.830116,1171.0,23.0,28.0467,15557297152,31305658368
Qwen/Qwen2.5-Coder-7B-Instruct,scaffolded,alpha,7615616512,1.488023,2.16589,0.49938300000000013,0.548838,0.894914,1175.0,25.0,28.1967,15557297152,31305658368
Qwen/Qwen2.5-Coder-7B-Instruct,scaffolded,beta,7615616512,1.601125,2.722388,0.6745970000000001,0.563195,1.056483,1244.0,30.0,28.0194,15557297152,31305658368
Qwen/Qwen2.5-Coder-7B-Instruct,scaffolded,gamma,7615616512,1.68364,9.598987,0.9473450000000001,0.595807,1.095621,1282.0,30.0,27.9228,15557297152,31305658368
