model,condition,language,relative_fertility,accuracy_difference,e2e_median,input_tokens_median
Qwen/Qwen2.5-Coder-0.5B-Instruct,bare,alpha,1.0681558445411026,-0.14285714285714285,0.518169,720.0
Qwen/Qwen2.5-Coder-0.5B-Instruct,bare,beta,1.400829875518672,-0.09523809523809523,0.626279,789.0
Qwen/Qwen2.5-Coder-0.5B-Instruct,bare,gamma,1.9373791734331793,-0.14285714285714285,0.548213,808.0
Qwen/Qwen2.5-Coder-0.5B-Instruct,scaffolded,alpha,1.0681558445411026,-0.047619047619047616,1.834795,1175.0
Qwen/Qwen2.5-Coder-0.5B-Instruct,scaffolded,beta,1.400829875518672,-0.047619047619047616,11.691407,1244.0
Qwen/Qwen2.5-Coder-0.5B-Instruct,scaffolded,gamma,1.9373791734331793,-0.047619047619047616,0.696979,1282.0
Qwen/Qwen2.5-Coder-1.5B-Instruct,bare,alpha,1.0681558445411026,-0.2857142857142857,0.664421,720.0
Qwen/Qwen2.5-Coder-1.5B-Instruct,bare,beta,1.400829875518672,-0.23809523809523808,0.863923,789.0
Qwen/Qwen2.5-Coder-1.5B-Instruct,bare,gamma,1.9373791734331793,-0.23809523809523808,0.873641,808.0
Qwen/Qwen2.5-Coder-1.5B-Instruct,scaffolded,alpha,1.0681558445411026,-0.19047619047619047,0.744961,1175.0
Qwen/Qwen2.5-Coder-1.5B-Instruct,scaffolded,beta,1.400829875518672,-0.2857142857142857,0.900865,1244.0
Qwen/Qwen2.5-Coder-1.5B-Instruct,scaffolded,gamma,1.9373791734331793,-0.19047619047619047,0.914671,1282.0
Qwen/Qwen2.5-Coder-3B-Instruct,bare,alpha,1.0681558445411026,-0.38095238095238093,0.921061,720.0
Qwen/Qwen2.5-Coder-3B-Instruct,bare,beta,1.400829875518672,0.09523809523809523,1.178324,789.0
Qwen/Qwen2.5-Coder-3B-Instruct,bare,gamma,1.9373791734331793,-0.19047619047619047,1.141937,808.0
Qwen/Qwen2.5-Coder-3B-Instruct,scaffolded,alpha,1.0681558445411026,-0.38095238095238093,1.05835,1175.0
Qwen/Qwen2.5-Coder-3B-Instruct,scaffolded,beta,1.400829875518672,0.047619047619047616,1.263094,1244.0
Qwen/Qwen2.5-Coder-3B-Instruct,scaffolded,gamma,1.9373791734331793,-0.19047619047619047,1.233764,1282.0
Qwen/Qwen2.5-Coder-7B-Instruct,bare,alpha,1.0681558445411026,-0.7142857142857143,1.215998,720.0
Qwen/Qwen2.5-Coder-7B-Instruct,bare,beta,1.400829875518672,-0.5238095238095238,1.476778,789.0
Qwen/Qwen2.5-Coder-7B-Instruct,bare,gamma,1.9373791734331793,-0.38095238095238093,1.453323,808.0
Qwen/Qwen2.5-Coder-7B-Instruct,scaffolded,alpha,1.0681558445411026,-0.8571428571428571,1.488023,1175.0
Qwen/Qwen2.5-Coder-7B-Instruct,scaffolded,beta,1.400829875518672,-0.38095238095238093,1.601125,1244.0
Qwen/Qwen2.5-Coder-7B-Instruct,scaffolded,gamma,1.9373791734331793,-0.5238095238095238,1.68364,1282.0
