model,language,bare,scaffolded,difference,n
Qwen/Qwen2.5-Coder-0.5B-Instruct,identity,0.14285714285714285,0.047619047619047616,-0.09523809523809523,21
Qwen/Qwen2.5-Coder-0.5B-Instruct,alpha,0.0,0.0,0.0,21
Qwen/Qwen2.5-Coder-0.5B-Instruct,beta,0.047619047619047616,0.0,-0.047619047619047616,21
Qwen/Qwen2.5-Coder-0.5B-Instruct,gamma,0.0,0.0,0.0,21
Qwen/Qwen2.5-Coder-1.5B-Instruct,identity,0.42857142857142855,0.5714285714285714,0.14285714285714285,21
Qwen/Qwen2.5-Coder-1.5B-Instruct,alpha,0.14285714285714285,0.38095238095238093,0.23809523809523808,21
Qwen/Qwen2.5-Coder-1.5B-Instruct,beta,0.19047619047619047,0.2857142857142857,0.09523809523809523,21
Qwen/Qwen2.5-Coder-1.5B-Instruct,gamma,0.19047619047619047,0.38095238095238093,0.19047619047619047,21
Qwen/Qwen2.5-Coder-3B-Instruct,identity,0.5714285714285714,0.8095238095238095,0.23809523809523814,21
Qwen/Qwen2.5-Coder-3B-Instruct,alpha,0.19047619047619047,0.42857142857142855,0.23809523809523808,21
Qwen/Qwen2.5-Coder-3B-Instruct,beta,0.6666666666666666,0.8571428571428571,0.19047619047619047,21
Qwen/Qwen2.5-Coder-3B-Instruct,gamma,0.38095238095238093,0.6190476190476191,0.23809523809523814,21
Qwen/Qwen2.5-Coder-7B-Instruct,identity,0.7142857142857143,0.9047619047619048,0.19047619047619047,21
Qwen/Qwen2.5-Coder-7B-Instruct,alpha,0.0,0.047619047619047616,0.047619047619047616,21
Qwen/Qwen2.5-Coder-7B-Instruct,beta,0.19047619047619047,0.5238095238095238,0.33333333333333337,21
Qwen/Qwen2.5-Coder-7B-Instruct,gamma,0.3333333333333333,0.38095238095238093,0.047619047619047616,21
