model,condition,language,n_invalid,median,q1,q3,min,max
Qwen/Qwen2.5-Coder-0.5B-Instruct,bare,identity,1,1.09375,1.09375,1.09375,1.09375,1.09375
Qwen/Qwen2.5-Coder-0.5B-Instruct,bare,alpha,8,0.0,0.0,0.14130425,0.0,0.742857
Qwen/Qwen2.5-Coder-0.5B-Instruct,bare,beta,1,0.865385,0.865385,0.865385,0.865385,0.865385
Qwen/Qwen2.5-Coder-0.5B-Instruct,bare,gamma,1,0.55,0.55,0.55,0.55,0.55
Qwen/Qwen2.5-Coder-0.5B-Instruct,scaffolded,identity,2,4.519231,2.2596155,6.7788465,0.0,9.038462
Qwen/Qwen2.5-Coder-0.5B-Instruct,scaffolded,alpha,21,0.0,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-Coder-0.5B-Instruct,scaffolded,beta,21,0.0,0.0,0.0,0.0,9.814815
Qwen/Qwen2.5-Coder-0.5B-Instruct,scaffolded,gamma,10,0.2608695,0.0108695,0.6041667500000001,0.0,0.84375
Qwen/Qwen2.5-Coder-1.5B-Instruct,bare,identity,3,0.628571,0.3142855,0.6753965,0.0,0.722222
Qwen/Qwen2.5-Coder-1.5B-Instruct,bare,alpha,6,0.066346,0.05609,0.0830355,0.0,0.391304
Qwen/Qwen2.5-Coder-1.5B-Instruct,bare,beta,2,0.777375,0.73128,0.82347,0.685185,0.869565
Qwen/Qwen2.5-Coder-1.5B-Instruct,bare,gamma,7,0.44,0.0,0.6550925000000001,0.0,0.90625
Qwen/Qwen2.5-Coder-1.5B-Instruct,scaffolded,identity,0,,,,,
Qwen/Qwen2.5-Coder-1.5B-Instruct,scaffolded,alpha,4,0.3076925,0.0,0.6677887499999999,0.0,0.825
Qwen/Qwen2.5-Coder-1.5B-Instruct,scaffolded,beta,1,0.481481,0.481481,0.481481,0.481481,0.481481
Qwen/Qwen2.5-Coder-1.5B-Instruct,scaffolded,gamma,1,0.90625,0.90625,0.90625,0.90625,0.90625
Qwen/Qwen2.5-Coder-3B-Instruct,bare,identity,1,0.628571,0.628571,0.628571,0.628571,0.628571
Qwen/Qwen2.5-Coder-3B-Instruct,bare,alpha,8,0.333913,0.22698374999999998,0.391304,0.148148,0.391304
Qwen/Qwen2.5-Coder-3B-Instruct,bare,beta,0,,,,,
Qwen/Qwen2.5-Coder-3B-Instruct,bare,gamma,4,0.0,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-Coder-3B-Instruct,scaffolded,identity,0,,,,,
Qwen/Qwen2.5-Coder-3B-Instruct,scaffolded,alpha,1,0.347826,0.347826,0.347826,0.347826,0.347826
Qwen/Qwen2.5-Coder-3B-Instruct,scaffolded,beta,1,0.0,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-Coder-3B-Instruct,scaffolded,gamma,3,0.0,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,bare,identity,2,0.5415345,0.48373025000000003,0.59933875,0.425926,0.657143
Qwen/Qwen2.5-Coder-7B-Instruct,bare,alpha,19,0.32,0.222222,0.347826,0.0,0.391304
Qwen/Qwen2.5-Coder-7B-Instruct,bare,beta,0,,,,,
Qwen/Qwen2.5-Coder-7B-Instruct,bare,gamma,12,0.0,0.0,0.302222,0.0,0.347826
Qwen/Qwen2.5-Coder-7B-Instruct,scaffolded,identity,1,0.657143,0.657143,0.657143,0.657143,0.657143
Qwen/Qwen2.5-Coder-7B-Instruct,scaffolded,alpha,19,0.391304,0.2375,0.391304,0.0,0.657143
Qwen/Qwen2.5-Coder-7B-Instruct,scaffolded,beta,7,0.0,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,scaffolded,gamma,13,0.0,0.0,0.347826,0.0,0.675
