model,language,condition,n_on_language,n_reverted_to_3dom_sigil,reversion_rate,n_used_own_sigil
Qwen/Qwen2.5-Coder-0.5B-Instruct,alpha,bare,21,0,0.0,21
Qwen/Qwen2.5-Coder-0.5B-Instruct,alpha,scaffolded,21,0,0.0,21
Qwen/Qwen2.5-Coder-0.5B-Instruct,beta,bare,21,0,0.0,21
Qwen/Qwen2.5-Coder-0.5B-Instruct,beta,scaffolded,2,0,0.0,2
Qwen/Qwen2.5-Coder-0.5B-Instruct,gamma,bare,21,0,0.0,21
Qwen/Qwen2.5-Coder-0.5B-Instruct,gamma,scaffolded,19,0,0.0,19
Qwen/Qwen2.5-Coder-1.5B-Instruct,alpha,bare,18,2,0.1111111111111111,16
Qwen/Qwen2.5-Coder-1.5B-Instruct,alpha,scaffolded,21,0,0.0,21
Qwen/Qwen2.5-Coder-1.5B-Instruct,beta,bare,21,0,0.0,14
Qwen/Qwen2.5-Coder-1.5B-Instruct,beta,scaffolded,21,0,0.0,21
Qwen/Qwen2.5-Coder-1.5B-Instruct,gamma,bare,21,0,0.0,18
Qwen/Qwen2.5-Coder-1.5B-Instruct,gamma,scaffolded,21,0,0.0,21
Qwen/Qwen2.5-Coder-3B-Instruct,alpha,bare,21,3,0.14285714285714285,13
Qwen/Qwen2.5-Coder-3B-Instruct,alpha,scaffolded,21,1,0.047619047619047616,19
Qwen/Qwen2.5-Coder-3B-Instruct,beta,bare,21,0,0.0,20
Qwen/Qwen2.5-Coder-3B-Instruct,beta,scaffolded,21,0,0.0,21
Qwen/Qwen2.5-Coder-3B-Instruct,gamma,bare,21,0,0.0,19
Qwen/Qwen2.5-Coder-3B-Instruct,gamma,scaffolded,21,0,0.0,20
Qwen/Qwen2.5-Coder-7B-Instruct,alpha,bare,21,4,0.19047619047619047,0
Qwen/Qwen2.5-Coder-7B-Instruct,alpha,scaffolded,21,17,0.8095238095238095,6
Qwen/Qwen2.5-Coder-7B-Instruct,beta,bare,21,0,0.0,10
Qwen/Qwen2.5-Coder-7B-Instruct,beta,scaffolded,21,0,0.0,20
Qwen/Qwen2.5-Coder-7B-Instruct,gamma,bare,21,0,0.0,11
Qwen/Qwen2.5-Coder-7B-Instruct,gamma,scaffolded,21,0,0.0,18
